rank,model,dice,iou,sensitivity,precision,mcc,cldice,hd95,assd,protocol
1,DeftNet-DEFT-Net,0.8196,0.7034,0.8391,0.8161,0.8166,0.8444,40.44,6.86,fixed_0.5_no_tta
2,HRNet,0.8085,0.6872,0.8308,0.8060,0.8060,0.8280,44.91,7.79,fixed_0.5_no_tta
3,SegFormer,0.8081,0.6862,0.8207,0.8109,0.8046,0.8320,43.42,7.21,fixed_0.5_no_tta
4,U-Mamba,0.8074,0.6849,0.8179,0.8113,0.8037,0.8270,45.55,7.53,fixed_0.5_no_tta
5,U-Net,0.8043,0.6821,0.8367,0.7940,0.8022,0.8244,50.07,8.60,fixed_0.5_no_tta
6,U-Net++,0.8023,0.6780,0.8305,0.7962,0.8002,0.8214,51.35,8.48,fixed_0.5_no_tta
7,DeepLabV3+,0.7984,0.6725,0.8284,0.7880,0.7956,0.8179,43.59,7.58,fixed_0.5_no_tta
8,Swin-UNet,0.7970,0.6730,0.8100,0.8010,0.7935,0.8145,49.07,8.39,fixed_0.5_no_tta
9,CS2-Net,0.7916,0.6650,0.8018,0.8013,0.7887,0.8071,53.62,9.13,fixed_0.5_no_tta
10,Attn-UNet,0.7908,0.6642,0.8254,0.7770,0.7879,0.8058,55.54,9.47,fixed_0.5_no_tta
11,DSCNet,0.7853,0.6562,0.8036,0.7851,0.7816,0.7991,54.45,9.24,fixed_0.5_no_tta
12,TransUNet,0.7847,0.6556,0.8143,0.7756,0.7816,0.8040,53.20,9.03,fixed_0.5_no_tta
13,SPIRONet,0.7757,0.6419,0.7957,0.7728,0.7713,0.7730,56.38,9.74,fixed_0.5_no_tta
14,VM-UNet,0.7527,0.6130,0.7754,0.7468,0.7475,0.7665,59.33,10.17,fixed_0.5_no_tta
15,ConvNeXt,0.7383,0.5964,0.7421,0.7588,0.7349,0.7523,57.92,10.64,fixed_0.5_no_tta
