control,evidence_level,dice_mean,dice_sd,mcc_mean,mcc_sd,cbdice_mean,cbdice_sd,branch_recovery_mean,branch_recovery_sd,betti0_error_mean,betti0_error_sd,cc_ratio_mean,cc_ratio_sd,seeds
Depth-banded HSAF,three-seed,0.8264,0.0056,0.8237,0.0055,0.8086,0.0010,0.9145,0.0048,2.49,0.10,2.96,0.13,"0;42;44"
Reversed-band admission,three-seed,0.8187,0.0044,0.8122,0.0047,0.7999,0.0012,0.8840,0.0061,3.45,0.2563,3.78,0.3221,"0;42;44"
Flat all-scale admission,three-seed,0.8159,0.0055,0.8130,0.0054,0.7879,0.0010,0.8829,0.0076,2.25,0.15,2.75,0.19,"0;42;44"
CNN-only admission,three-seed,0.7976,0.0064,0.7967,0.0061,0.7644,0.0034,0.9462,0.0070,4.46,0.28,4.70,0.34,"0;42;44"
Transformer-only admission,three-seed,0.6881,0.0089,0.6902,0.0083,0.6218,0.0046,0.6974,0.0128,6.97,0.44,6.45,0.40,"0;42;44"
Feature-mean fusion,three-seed,0.7985,0.0061,0.7962,0.0061,0.7635,0.0011,0.8514,0.0086,3.03,0.24,3.44,0.27,"0;42;44"
Random routing,three-seed,0.7922,0.0067,0.7894,0.0063,0.7548,0.0014,0.8511,0.0084,4.42,0.31,4.58,0.35,"0;42;44"
Shuffled HSAF weights,three-seed,0.7935,0.0062,0.7906,0.0059,0.7593,0.0013,0.8521,0.0081,3.77,0.22,4.11,0.29,"0;42;44"
Best single expert,three-seed,0.7673,0.0048,0.7643,0.0046,0.7237,0.0028,0.9246,0.0069,8.73,0.55,7.95,0.61,"0;42;44"
Mask average ensemble,three-seed,0.5346,0.0068,0.5737,0.0073,0.4560,0.0041,0.5130,0.0108,15.07,0.95,12.94,0.84,"0;42;44"
Logit average ensemble,three-seed,0.4441,0.0060,0.5091,0.0078,0.4100,0.0044,0.4291,0.0115,7.75,0.62,7.07,0.57,"0;42;44"
Majority vote ensemble,three-seed,0.5403,0.0072,0.5769,0.0071,0.4608,0.0039,0.5202,0.0104,19.31,1.10,16.24,0.96,"0;42;44"
Same-architecture full-data experts,three-seed,0.8141,0.0059,0.8072,0.0062,0.8004,0.0060,0.8693,0.0083,2.80,0.13,3.64,0.22,"0;42;44"
Heterogeneous full-data experts,three-seed,0.8198,0.0053,0.8157,0.0052,0.8051,0.0042,0.8950,0.0085,2.58,0.08,3.20,0.12,"0;42;44"
