rank_by_dice,family,model,dice_mean,dice_sd,iou_mean,iou_sd,sensitivity_mean,sensitivity_sd,precision_mean,precision_sd,mcc_mean,mcc_sd,cldice_mean,cldice_sd,cbdice_mean,cbdice_sd,hd95_mean_px,hd95_sd_px,assd_mean_px,assd_sd_px,protocol,seeds
1,Ours,DEFT-Net,0.8264,0.0056,0.7042,0.0081,0.8490,0.0036,0.8186,0.0065,0.8237,0.0055,0.9025,0.0240,0.8086,0.0010,42.46,1.25,7.21,0.58,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
2,SSM/Mamba family,U-Mamba,0.8103,0.0100,0.6906,0.0143,0.8186,0.0105,0.8147,0.0090,0.8066,0.0099,0.8999,0.0422,0.7908,0.0064,47.4616,4.9820,8.4582,1.3173,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
3,Transformer family,SegFormer,0.8084,0.0075,0.6861,0.0104,0.8272,0.0103,0.8026,0.0039,0.8045,0.0074,0.8963,0.0444,0.7917,0.0032,45.2430,6.5060,7.7948,1.5004,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
4,CNN / U-Net family,UNet++,0.8070,0.0040,0.6857,0.0066,0.8296,0.0078,0.8006,0.0077,0.8037,0.0030,0.8781,0.0207,0.7895,0.0046,38.7974,11.3550,5.9801,2.2673,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
5,CNN / U-Net family,U-Net,0.8060,0.0028,0.6844,0.0035,0.8289,0.0065,0.7997,0.0070,0.8028,0.0025,0.8853,0.0368,0.7910,0.0029,38.2145,11.2777,6.0332,2.3886,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
6,CNN / U-Net family,DeepLabV3+,0.8030,0.0041,0.6795,0.0062,0.8252,0.0065,0.7970,0.0079,0.7996,0.0036,0.8871,0.0175,0.7900,0.0032,35.3534,8.0954,5.4631,1.9527,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
7,CNN / U-Net family,HRNet,0.8021,0.0112,0.6799,0.0153,0.8240,0.0169,0.7945,0.0076,0.7983,0.0111,0.8437,0.0475,0.7878,0.0059,49.8286,7.9605,8.7112,1.6186,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
8,Transformer family,Swin-UNet,0.7967,0.0003,0.6726,0.0008,0.8173,0.0066,0.7917,0.0085,0.7929,0.0006,0.8845,0.0170,0.7764,0.0008,40.0480,9.1467,6.2442,2.0106,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
9,Transformer family,TransUNet,0.7937,0.0078,0.6680,0.0108,0.8238,0.0084,0.7812,0.0052,0.7902,0.0075,0.8835,0.0081,0.7738,0.0037,42.3773,9.5538,6.5567,2.2531,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
10,CNN / U-Net family,AttUNet,0.7920,0.0018,0.6658,0.0021,0.8200,0.0047,0.7839,0.0073,0.7891,0.0018,0.8809,0.0135,0.7705,0.0040,44.2308,10.4337,6.8052,2.3931,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
11,Vessel/topology-specialized,CS2-Net,0.7892,0.0030,0.6618,0.0041,0.7969,0.0135,0.7993,0.0079,0.7858,0.0035,0.8920,0.0194,0.7662,0.0064,43.8773,8.8823,6.7884,2.1103,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
12,Vessel/topology-specialized,DSCNet,0.7835,0.0033,0.6536,0.0049,0.8134,0.0150,0.7727,0.0128,0.7800,0.0033,0.8739,0.0142,0.7601,0.0077,47.1844,7.0155,7.0576,2.0381,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
13,Vessel/topology-specialized,SPIRONet,0.7759,0.0029,0.6424,0.0031,0.8019,0.0172,0.7662,0.0125,0.7714,0.0030,0.8684,0.0475,0.7544,0.0034,43.5982,11.6067,6.7857,2.6316,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
14,SSM/Mamba family,VM-UNet,0.7548,0.0018,0.6159,0.0025,0.7690,0.0077,0.7566,0.0106,0.7497,0.0019,0.8533,0.0502,0.7372,0.0035,48.3451,10.5043,7.5169,2.4540,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
15,CNN / U-Net family,ConvNeXt,0.7367,0.0052,0.5943,0.0065,0.7455,0.0035,0.7472,0.0142,0.7319,0.0056,0.8424,0.0192,0.7125,0.0074,52.2143,6.3046,8.7007,1.9647,fixed_0.5_no_tta_released_image_benchmark,"0;42;44"
